report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,substance_id,substance_sort_order,substance_name,air_point_emission_kg,air_point_eet,air_fugitive_emission_kg,air_fugitive_eet,air_total_emission_kg,water_emission_kg,water_eet,land_emission_kg,land_eet,suburb,state,postcode,latitude,longitude,pivot_facility_name
562592,2024/2025,546228,WA,WA0756,Daniel's Well,A O'MEEHAN AND CO.,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,186235,___4_,186235,,,,,Borden,WA,6338,-34.223631,118.276988,"Daniel's Well, Borden WA (WA0756)"
570302,2024/2025,511632,QLD,Q063ARF001,Aronui Feedlot,AUSTRALIAN AGRICULTURAL COMPANY LIMITED,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,1201060,___4_,1201060,,,,,Dalby,QLD,4405,-27.035665,151.333029,"Aronui Feedlot, Dalby QLD (Q063ARF001)"
570322,2024/2025,511516,QLD,Q063ACO001,Brindley Park Feedlot,AUSTRALIAN COUNTRY CHOICE FEEDLOTS,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,1417935,___4_,1417935,,,,,Roma,QLD,4455,-26.258,148.960278,"Brindley Park Feedlot, Roma QLD (Q063ACO001)"
570334,2024/2025,511526,QLD,Q063ACO002,Brisbane Valley Feedlot,AUSTRALIAN COUNTRY CHOICE FEEDLOTS,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,228315,___4_,228315,,,,,Buaraba,QLD,4311,-27.39668,152.35723,"Brisbane Valley Feedlot, Buaraba QLD (Q063ACO002)"
570332,2024/2025,512052,QLD,Q063ILC012,Opal Creek,AUSTRALIAN COUNTRY CHOICE FEEDLOTS,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,1922654,___4_,1922654,,,,,Cecil Plains,QLD,4407,-27.679387,150.914363,"Opal Creek, Cecil Plains QLD (Q063ILC012)"
561836,2024/2025,704128,WA,WA1753,Narrogin Beef Feedlot,AUSVISION RURAL SERVICES PTY LTD,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,164150,___4_,164150,,,,,Narrogin,WA,6312,-32.980123,117.152564,"Narrogin Beef Feedlot, Narrogin WA (WA1753)"
564994,2024/2025,484126,NSW,1117,Avondale Feedlot,AVONDALE AG,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),244019.3,___4_,,,244019.3,,,,,Rowena,NSW,2387,-29.684677,148.827652,"Avondale Feedlot, Rowena NSW (1117)"
570440,2024/2025,511750,QLD,Q063CGN001,Barmount Feedlot,BARMOUNT PARTNERSHIP,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,498682.92,___4_,498682.92,,,,,Lotus Creek,QLD,4705,-22.542129,149.093487,"Barmount Feedlot, Lotus Creek QLD (Q063CGN001)"
562584,2024/2025,484122,NSW,1116,Bective Feedlot,BECTIVE OPERATIONS PTY LTD,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,348209,1____,348209,,,,,Tamworth,NSW,2340,-30.973208,150.730796,"Bective Feedlot, Tamworth NSW (1116)"
570020,2024/2025,660140,NSW,1547,Haino Park Feedlot,BLACKMORE WAGYU BEEF PTY LTD,0143,Beef Cattle Feedlots (Specialised),8,9,Ammonia (total),,,86940,___4_,86940,,,,,Finley,NSW,2713,-35.58536,145.43373,"Haino Park Feedlot, Finley NSW (1547)"
