Region,Region codes,Data item,Year,Value,Rate per person
New South Wales,1,Beef cattle - Total (no.),2019-20,4680338,0.5426793437
New South Wales,1,Beef cattle - Total (no.),2020-21,5289387,0.6132978144
New South Wales,1,Beef cattle - Total (no.),2021-22,5531347,0.6413527741
New South Wales,1,Beef cattle - Total (no.),2022-23,5866407,0.6802025625
New South Wales,1,Beef cattle - Total (no.),2023-24,5948193,0.689685547
New South Wales,1,Beef cattle - Total (no.),2024-25,5528200,0.6409878834
Victoria,2,Beef cattle - Total (no.),2019-20,2554323,0.3595460496
Victoria,2,Beef cattle - Total (no.),2020-21,2652678,0.3733904818
Victoria,2,Beef cattle - Total (no.),2021-22,2717340,0.3824922934
Victoria,2,Beef cattle - Total (no.),2022-23,2896378,0.4076936503
Victoria,2,Beef cattle - Total (no.),2023-24,2874448,0.4046067874
Victoria,2,Beef cattle - Total (no.),2024-25,2609713,0.3673427361
Queensland,3,Beef cattle - Total (no.),2019-20,12250098,2.151933739
Queensland,3,Beef cattle - Total (no.),2020-21,12489834,2.19404736
Queensland,3,Beef cattle - Total (no.),2021-22,12689803,2.229175245
Queensland,3,Beef cattle - Total (no.),2022-23,13159579,2.311699224
Queensland,3,Beef cattle - Total (no.),2023-24,13441655,2.361250571
Queensland,3,Beef cattle - Total (no.),2024-25,13530249,2.376813583
South Australia,4,Beef cattle - Total (no.),2019-20,1043079,0.5466298082
South Australia,4,Beef cattle - Total (no.),2020-21,1073491,0.5625673409
South Australia,4,Beef cattle - Total (no.),2021-22,1096539,0.5746457394
South Australia,4,Beef cattle - Total (no.),2022-23,1118149,0.5859705482
South Australia,4,Beef cattle - Total (no.),2023-24,1169944,0.6131139294
South Australia,4,Beef cattle - Total (no.),2024-25,1082553,0.567316319
Western Australia,5,Beef cattle - Total (no.),2019-20,2179267,0.711783323
Western Australia,5,Beef cattle - Total (no.),2020-21,2279933,0.7446624424
Western Australia,5,Beef cattle - Total (no.),2021-22,2168899,0.708396969
Western Australia,5,Beef cattle - Total (no.),2022-23,2294247,0.7493376229
Western Australia,5,Beef cattle - Total (no.),2023-24,2293098,0.7489623412
Western Australia,5,Beef cattle - Total (no.),2024-25,2197515,0.7177434105
Tasmania,6,Beef cattle - Total (no.),2019-20,560057,0.9711409745
Tasmania,6,Beef cattle - Total (no.),2020-21,550410,0.9544130397
Tasmania,6,Beef cattle - Total (no.),2021-22,523044,0.9069602913
Tasmania,6,Beef cattle - Total (no.),2022-23,558409,0.9682833362
Tasmania,6,Beef cattle - Total (no.),2023-24,574802,0.9967088608
Tasmania,6,Beef cattle - Total (no.),2024-25,546960,0.9484307265
Northern Territory,7,Beef cattle - Total (no.),2019-20,2072481,7.805954802
Northern Territory,7,Beef cattle - Total (no.),2020-21,2005153,7.552365348
Northern Territory,7,Beef cattle - Total (no.),2021-22,1860084,7.005966102
Northern Territory,7,Beef cattle - Total (no.),2022-23,1924840,7.249868173
Northern Territory,7,Beef cattle - Total (no.),2023-24,2019160,7.605122411
Northern Territory,7,Beef cattle - Total (no.),2024-25,2100503,7.911499058
