Financial year,Industry,State,Number of farms,Sample,Closing area operated
1999–00,Beef specialists,Aust.,18865,  304 ,12310
2000–01,Beef specialists,Aust.,20398,  334 ,11960
2001–02,Beef specialists,Aust.,17520,  291 ,14670
2002–03,Beef specialists,Aust.,21938,  354 ,10640
2003–04,Beef specialists,Aust.,20370,  343 ,13190
2004–05,Beef specialists,Aust.,16224,  445 ,15500
2005–06,Beef specialists,Aust.,17659,  425 ,14570
2006–07,Beef specialists,Aust.,18217,  468 ,12820
2007–08,Beef specialists,Aust.,18970,  720 ,12390
2008–09,Beef specialists,Aust.,17130,  562 ,14140
2009–10,Beef specialists,Aust.,18265,  535 ,13200
2010–11,Beef specialists,Aust.,16643,  529 ,13740
2011–12,Beef specialists,Aust.,17845,  530 ,13090
2012–13,Beef specialists,Aust.,19047,  509 ,12540
2013–14,Beef specialists,Aust.,19365,  532 ,13060
2014–15,Beef specialists,Aust.,19698,  524 ,13750
2015–16,Beef specialists,Aust.,18115,  513 ,13900
2016–17,Beef specialists,Aust.,18277,  514 ,14040
2017–18,Beef specialists,Aust.,18825,  518 ,13880
2018–19,Beef specialists,Aust.,20377,  519 ,12900
2019–20,Beef specialists,Aust.,20410,  467 ,14870
2020–21,Beef specialists,Aust.,18765,  468 ,15090
2021–22,Beef specialists,Aust.,20549,  485 ,11360
2022–23,Beef specialists,Aust.,22065,  473 ,10980
