Financial year,Industry,State,Total cash costs,Total cash receipts
1999–00,Beef specialists,Aust.,"  248,480 ","  318,450 "
2000–01,Beef specialists,Aust.,"  233,000 ","  363,430 "
2001–02,Beef specialists,Aust.,"  319,850 ","  466,030 "
2002–03,Beef specialists,Aust.,"  299,240 ","  350,230 "
2003–04,Beef specialists,Aust.,"  354,060 ","  411,230 "
2004–05,Beef specialists,Aust.,"  445,340 ","  566,490 "
2005–06,Beef specialists,Aust.,"  396,550 ","  526,930 "
2006–07,Beef specialists,Aust.,"  560,070 ","  629,450 "
2007–08,Beef specialists,Aust.,"  307,530 ","  368,490 "
2008–09,Beef specialists,Aust.,"  335,750 ","  407,240 "
2009–10,Beef specialists,Aust.,"  311,240 ","  361,590 "
2010–11,Beef specialists,Aust.,"  305,890 ","  389,670 "
2011–12,Beef specialists,Aust.,"  257,020 ","  343,010 "
2012–13,Beef specialists,Aust.,"  241,930 ","  309,070 "
2013–14,Beef specialists,Aust.,"  262,770 ","  332,940 "
2014–15,Beef specialists,Aust.,"  262,630 ","  382,200 "
2015–16,Beef specialists,Aust.,"  293,120 ","  517,210 "
2016–17,Beef specialists,Aust.,"  302,550 ","  477,870 "
2017–18,Beef specialists,Aust.,"  312,070 ","  471,890 "
2018–19,Beef specialists,Aust.,"  313,010 ","  427,050 "
2019–20,Beef specialists,Aust.,"  382,680 ","  499,090 "
2020–21,Beef specialists,Aust.,"  397,300 ","  646,850 "
2021–22,Beef specialists,Aust.,"  384,420 ","  609,680 "
2022–23,Beef specialists,Aust.,"  354,800 ","  545,000 "
