Financial year,Industry,State,Total cash costs,Total cash receipts,Total opening capital
1999–00,Beef specialists,Aust.,248480,318450,2694290
2000–01,Beef specialists,Aust.,233000,363430,2935390
2001–02,Beef specialists,Aust.,319850,466030,3694570
2002–03,Beef specialists,Aust.,299240,350230,3335900
2003–04,Beef specialists,Aust.,354060,411230,4018480
2004–05,Beef specialists,Aust.,445340,566490,5573400
2005–06,Beef specialists,Aust.,396550,526930,5733330
2006–07,Beef specialists,Aust.,560070,629450,6009600
2007–08,Beef specialists,Aust.,307530,368490,6417590
2008–09,Beef specialists,Aust.,335750,407240,6673020
2009–10,Beef specialists,Aust.,311240,361590,6112620
2010–11,Beef specialists,Aust.,305890,389670,6049480
2011–12,Beef specialists,Aust.,257020,343010,5485880
2012–13,Beef specialists,Aust.,241930,309070,5279530
2013–14,Beef specialists,Aust.,262770,332940,5343630
2014–15,Beef specialists,Aust.,262630,382200,5394270
2015–16,Beef specialists,Aust.,293120,517210,5816130
2016–17,Beef specialists,Aust.,302550,477870,5924810
2017–18,Beef specialists,Aust.,312070,471890,6331720
2018–19,Beef specialists,Aust.,313010,427050,6654220
2019–20,Beef specialists,Aust.,382680,499090,7209910
2020–21,Beef specialists,Aust.,397300,646850,8600010
2021–22,Beef specialists,Aust.,384420,609680,9408380
2022–23,Beef specialists,Aust.,354800,545000,9905500
