Financial year,Industry,State,Number of farms,Closing area operated
1999–00,Beef specialists,NT,  202 ,298310
2000–01,Beef specialists,NT,  202 ,314380
2001–02,Beef specialists,NT,  198 ,310240
2002–03,Beef specialists,NT,  196 ,329420
2003–04,Beef specialists,NT,  195 ,286570
2004–05,Beef specialists,NT,  197 ,249190
2005–06,Beef specialists,NT,  166 ,272410
2006–07,Beef specialists,NT,  170 ,268430
2007–08,Beef specialists,NT,  183 ,281570
2008–09,Beef specialists,NT,  176 ,250770
2009–10,Beef specialists,NT,  181 ,260500
2010–11,Beef specialists,NT,  184 ,279560
2011–12,Beef specialists,NT,  173 ,300900
2012–13,Beef specialists,NT,  182 ,269900
2013–14,Beef specialists,NT,  166 ,278010
2014–15,Beef specialists,NT,  155 ,282340
2015–16,Beef specialists,NT,  150 ,331850
2016–17,Beef specialists,NT,  144 ,343890
2017–18,Beef specialists,NT,  149 ,307530
2018–19,Beef specialists,NT,  155 ,291250
2019–20,Beef specialists,NT,  155 ,325520
2020–21,Beef specialists,NT,  155 ,355060
2021–22,Beef specialists,NT,  147 ,338710
2022–23,Beef specialists,NT,  148 ,333750
